Address,Latitude,Longitude,Pet at Home,Animal Type,Count
"3129 E 12Th St,Austin,TX",30.276185,-97.70102899999999,False,Cat,1
"1211 Montopolis Drive,Austin,TX",30.2312421,-97.69897789999999,False,Cat,1
"8011 Beckett Rd,Austin,TX",30.2139446,-97.8634214,False,Cat,1
"5201 Purple Sage,Travis,TX",30.311727,-97.65945119999999,False,Dog,1
"3100 Beverly,Austin,TX",30.3042989,-97.7562375,False,Cat,4
"Spicewood And Mesa,Austin,TX",30.3714887,-97.75725779999999,False,Dog,1
"Stassney And South Congress,Austin,TX",30.2049976,-97.77479729999999,False,Dog,1
"200 San Jose Street,Austin,TX",30.3521302,-97.70144479999999,False,Dog,1
"200 San Jose St,Austin,TX",30.3521302,-97.70144479999999,False,Dog,1
"2614 East 2Nd Street,Austin,TX",30.2545855,-97.713759,False,Cat,4
"2311 South 5Th Street,Austin,TX",30.2441447,-97.7638396,False,Cat,2
"Springdale And Basswod Lane,Austin,TX",30.2965814,-97.6765647,False,Dog,1
"1308 March Drive,Austin,TX",30.3745155,-97.6629212,False,Cat,3
"1405 Springdale Avenue,Austin,TX",30.2812295,-97.68533970000001,False,Cat,1
"1416 Edgewater,Travis,TX",30.404714,-97.99815,True,Dog,1
"1156 West Cesar Chavez,Austin,TX",30.2698458,-97.7593014,False,Cat,1
"7711 Burnet Rd,Austin,TX",30.3540074,-97.7316501,True,Dog,1
"6807 Blue Dawn Trl,Austin,TX",30.1830626,-97.7618255,False,Dog,4
"Matthews Lane And Manchaca Road,Austin,TX",30.2000002,-97.80743419999999,False,Dog,1
"307 Sheffield,Austin,TX",30.2106687,-97.7664901,False,Dog,1
"East 7Th And Robert E Martinez,Austin,TX",30.261582,-97.7180197,False,Bird,1
"Lott Avenue And Ledesma Road,Austin,TX",30.2703642,-97.68197459999999,False,Other,2
"Quail Creek Park,Austin,TX",30.3687763,-97.70139549999999,False,Dog,1
"Airport Blvd And Levander Loop,Austin,TX",30.2530935,-97.6925467,False,Dog,1
"14205 Rosseau Street,Travis,TX",30.2431015,-97.58651630000001,False,Dog,1
"10100 South Ih 35,Austin,TX",30.1526571,-97.79207369999999,True,Dog,1
"12221 North Mopac,Austin,TX",30.3785391,-97.7363927,True,Dog,1
"7005 Ten Oaks,Austin,TX",30.176414,-97.752884,False,Cat,1
"183 And 1327,Austin,TX",30.2563438,-97.67732079999999,False,Dog,4
"12151 North Interstate 35,Austin,TX",30.39427,-97.67066849999999,False,Cat,3
"12151 Interstate 35,Austin,TX",30.3950392,-97.6698768,False,Cat,1
"1800 East Stassney,Austin,TX",30.1979,-97.76142499999999,False,Dog,1
"Manchaca And Whitestone,Austin,TX",30.2140182,-97.80017289999999,False,Dog,1
"6200 Loyola Drive,Austin,TX",30.3029683,-97.6496185,False,Dog,2
"2102 East Second Street,Austin,TX",30.2570774,-97.7209163,False,Dog,1
"2901 S Capital Of Texas Hwy,Austin,TX",30.2573391,-97.8071884,False,Dog,1
"5200 Waterbrook,Austin,TX",30.3031853,-97.689978,False,Cat,1
"2501 Anken,Austin,TX",30.2293195,-97.7275531,False,Dog,1
"917 North Lamar,Austin,TX",30.2746164,-97.751949,False,Cat,1
