Address,Latitude,Longitude,Pet at Home,Animal Type,Count
"5309 Spring Meadow Rd,Austin,TX",30.1961603,-97.7357265,False,Cat,1
"1016 Camino La Costa,Austin,TX",30.3267578,-97.70125920000001,False,Cat,5
"11904 Garden Gate,Austin,TX",30.2255352,-97.6276266,False,Cat,1
"2301 Quicksilver,Austin,TX",30.1765229,-97.76659389999999,False,Cat,4
"443 Mesa Drive,Del Valle,TX",30.1135264,-97.5805171,False,Cat,3
"10401 North Lamar,Austin,TX",30.3719105,-97.690151,False,Cat,2
"6810 Willamette Drive,Austin,TX",30.3163258,-97.6745899,False,Cat,1
"7610 Cameron Road,Austin,TX",30.331529,-97.688755,False,Cat,1
"739 West William Cannon Drive,Austin,TX",30.1977965,-97.7899425,False,Cat,1
"912 Cherico Street,Austin,TX",30.262896,-97.70200709999999,False,Cat,2
"7601 Daffan Lane,Austin,TX",30.3163875,-97.6245196,False,Cat,1
"928 East 54Th,Austin,TX",30.3143049,-97.71082679999999,False,Cat,1
"7610 Cameron Rd,Austin,TX",30.331529,-97.688755,False,Cat,1
"2307 D Rachael Court,Austin,TX",30.1773698,-97.8280636,False,Cat,1
"4714 Nuckols Crossing,Austin,TX",30.1976963,-97.7367505,False,Cat,1
"1211 East 52Nd Street,Austin,TX",30.308719,-97.706919,False,Cat,3
"8005 Brockman,Austin,TX",30.3580563,-97.7289835,False,Cat,2
"9010 Norht Ih-35,Austin,TX",30.3554018,-97.6907327,False,Cat,1
"611 Carpenter Avenue,Austin,TX",30.35733,-97.69916070000001,False,Cat,1
"1631 E 2Nd St,Austin,TX",30.2586489,-97.7276143,False,Cat,1
"Caldwell Lane And Albert Brown Drive,Del Valle,TX",30.18728,-97.5562801,False,Cat,1
"1515 Wickersham Lane,Austin,TX",30.2349921,-97.7182435,False,Cat,2
"1708 Garden,Austin,TX",30.2549688,-97.7270391,False,Cat,1
"Silvia Drive And Ann Showers,Travis,TX",30.2703255,-97.4719298,False,Cat,1
"13119 Dessau Rd,Austin,TX",30.399958,-97.63882900000002,False,Cat,1
"8700 Brodie Lane,Austin,TX",30.19721299999999,-97.84128199999999,False,Cat,1
"6815 Montana Street,Austin,TX",30.2298851,-97.692959,False,Cat,1
"20409 Crooked Stick,Pflugerville,TX",30.4816434,-97.5709612,False,Cat,1
"9400 Petrichor,Manor,TX",30.2976809,-97.5538371,False,Cat,1
"305 E Yager,Austin,TX",30.39466209999999,-97.6679024,True,Cat,1
"18208 Great Falls Dr,Manor,TX",30.3213537,-97.5295249,False,Cat,1
